Chinese_Category	English_Abbreviation
异常细胞表型	ABN_CELL
解剖实体疾病	ANAT_DIS
血液和造血组织异常	BLOOD_ABN
本体区	BODY_PART
心血管系统异常	CARDIO
细胞成分	CELL_COMP
细胞增殖疾病	CELL_PROL
结缔组织异常	CONN_TISS
体质症状	CONST_SYM
消化系统异常	DIGEST
耳部异常	EAR_ABN
胚胎结构	EMB_STR
内分泌系统异常	ENDO_ABN
眼睛异常	EYE_ABN
遗传病	GEN_DIS
生长异常	GROWTH
头部或颈部异常	HEAD_NECK
免疫系统异常	IMM_ABN
由传染因子引起的疾病	INFECT_DIS
肢体异常	LIMB_ABN
精神疾病	MENT_DIS
代谢疾病	MET_DIS
新陈代谢平衡失调	MET_IMBAL
分子序列	MOL_SEQ
肌肉系统异常	MUSC_ABN
神经系统异常	NERV_ABN
物理障碍	PHYS_DIS
产前发育或出生异常	PRENATAL
呼吸系统异常	RESP_ABN
骨骼系统异常	SKEL_ABN
皮肤异常	SKIN_ABN
合征症候群	SYNDROME
组织	TISSUE
肿瘤	TUMOR
泌尿生殖系统异常	URO_ABN
